raw_text,category
ELEC BILL FY24,Non-Personnel
MATH SPEC STIPEND BLDG 2,Personnel
CONS FEES LOC 22,Non-Personnel
COPIER LEASE Q2,Non-Personnel
POSTAGE RM 205,Non-Personnel
TRASH Q1,Non-Personnel
BINDERS SCH 04,Non-Personnel
ASSESSMNT MAT RM 205,Non-Personnel
CAFETERIA FOOD RM 205,Non-Personnel
MILK Q4,Non-Personnel
YEARBOOK ADV STPND FY24,Personnel
WC INS PREM SPECIAL ED TCHR FY25,Personnel
SPEECH PATH STIPEND - JUL,Personnel
SPECIAL ED TCHR - OVR TIME ACCT 2200,Personnel
LAWN CARE BLDG 2,Non-Personnel
SECURITY SAL SCH 04,Personnel
LIFE INSURANCE - TEACHER SCH 04,Personnel
AUTO INS - BUS FLEET FY25,Non-Personnel
TONER Q1,Non-Personnel
DAILY SUB - NOV,Personnel
GT TCHR - SEVERANCE - 9-12 BLDG 2,Personnel
CHEER COACH STIPEND 47,Personnel
WORK COMP - LIBRARIAN BLDG 1.,Personnel
FNGRPRINT SVC NEW STAFF,Non-Personnel
SUPERINTENDENT STPND RM 12B,Personnel
ATH DIR STIPEND FY26,Personnel
ATTORNEY FEES BLDG 1,Non-Personnel
SLP - BONUS ACCT 2200,Personnel
SECURITY OT PAY BLDG 2,Personnel
TCHR AIDE 403B MATCH 215,Personnel
TCHR TRAINING BOOKS GR 5,Non-Personnel
MAINT WKR - OT FY25,Personnel
TITLE 1 TCHR BONUS FY26,Personnel
PSYCHOLOGIST-DENTAL - SEP,Personnel
POWERSCHOOL SUB FEE- SEP,Non-Personnel
CLSRM SUPPLIES 102,Non-Personnel
ELL TCHR - PAY - 3-5 LOC 22,Personnel
WKR COMP / RDG COACH BLDG 1,Personnel
FUEL BUS BLDG 1,Non-Personnel
CLASSROOM SUPPLS Q4,Non-Personnel
SUBSCRP SVC Q2,Non-Personnel
CHRMBOOK BLDG A.,Non-Personnel
FRESH PRODUCE SCH 07,Non-Personnel
UNEMPL INS - CUSTODIAN SCH 04,Personnel
GRADE LVL LEAD STPND RM 12B,Personnel
SW-SUPPL PAY FY26,Personnel
COUNSLR SALARY LOC 22,Personnel
POWERSCHOOL SUB FEE ACCT 6120,Non-Personnel
PSYCHOLOGIST RETRO PAY ACCT 6120,Personnel
SCI LAB SUPPL RM 205,Non-Personnel
COUNS OT - JUL,Personnel
OFFICE SUPPLIES FY24,Non-Personnel
PARAEDUC RETRO PAY SCH 04,Personnel
CURRIC MAT SCH 04,Non-Personnel
LONGEVITY PAY - 20 YR.,Personnel
WTR SVC - AUG,Non-Personnel
LT SUB-TECH ED Q4,Personnel
IT SVC BLDG C,Non-Personnel
LITERACY COACH BONUS ACCT 6120,Personnel
LIFE INS / READING SPEC,Personnel
BAND SUPPL,Non-Personnel
WORKSHOP REG 9.,Non-Personnel
PEST CTRL - NOV,Non-Personnel
BUS INS bldg 2,Non-Personnel
SPECIAL ED TCHR-HRLY-CHOIR FY24,Personnel
GAS BILL RM 302,Non-Personnel
ASST PRIN-OVR TIME 215,Personnel
PD PRESENTER STIPEND ACCT 2200,Personnel
SCH PSYCH STIPEND - JUL,Personnel
FACILITY RPR FY26,Non-Personnel
WORK COMP MEDIA SPEC 215,Personnel
OFFICE CLERK STIPEND LOC 22,Personnel
INTERVENTIONIST RET CONTRIB ACCT 1100,Personnel
TEACHER-LIFE INSURANCE RM 101,Personnel
PEST CTRL - JUN,Non-Personnel
PT - STIPEND - JUL,Personnel
WORKSHOP REG LOC 22,Non-Personnel
CUSTODIAN-SALARIES Q4,Personnel
PERS CUSTOD FY25,Personnel
SPED TCHR - OT PAY - ART Q1,Personnel
COORDINATOR SMR PAY ACCT 5410,Personnel
TITLE 1 TCHR - LONG PAY BLDG 4,Personnel
CAFETERIA FOOD ACCT 6120,Non-Personnel
ART MAT LOC 22,Non-Personnel
GROUNDS WKR-LONG PAY 215,Personnel
FACILITY RENT ACCT 2200,Non-Personnel
VEHICLE REGIS,Non-Personnel
COACHING STIPEND - JV SOCCER,Personnel
TCHR / RETROACTIVE PAY / HS ACCT 2200,Personnel
MENTOR STPND - NEW TCHR,Personnel
PSERS - CUST FY25,Personnel
STAFF DEV WKSHOP REG - MATH,Non-Personnel
CLSRM SUPPLIES ACCT 2200,Non-Personnel
SUB NURSE Q4,Personnel
ELECT RPR LOC 22,Non-Personnel
FSA CONTRIB INSTRUCT COACH BLDG C,Personnel
CAF WKR PAY,Personnel
CAR LINE DUTY STPND,Personnel
BREAD,Non-Personnel
PAYROLL TAX-INTERVENTIONIST FY25,Personnel
GYM SUPPLIES - JUL,Non-Personnel
DOOR RPR BLDG C,Non-Personnel
PERMNT SUB-HIST ACCT 2200,Personnel
ROOFING SVC BLDG 4,Non-Personnel
SCI LAB SUPPL,Non-Personnel
LIB MEDIA SPEC PAY 47.,Personnel
HVAC SVC Q1,Non-Personnel
POSTAGE BLDG 2,Non-Personnel
SUB NURSE BLDG a,Personnel
PAPER REAM,Non-Personnel
RECYCLING SVC LOC 015,Non-Personnel
TITLE 1 TCHR OT pay K-5 BLDG 2,Personnel
SW - TRS CONTRIB LOC 22,Personnel
COORD - LONGEVITY Q2,Personnel
ASBESTOS ABATE RM 12B,Non-Personnel
STIPEND - SAT SCH PROCTOR,Personnel
SCH NRS / RETRO PAY RM 101,Personnel
CHRMBK - SEP,Non-Personnel
EL TCHR STIPEND RM 302,Personnel
SPED / SALARY,Personnel
MEAT & POULTRY RM 101,Non-Personnel
403B EMPLR MATCH,Personnel
KITCHEN STAFF OT - SEP,Personnel
COORDINATOR - SMR PAY 9,Personnel
TEACH SAL ELEM LOC 22,Personnel
BUS DR LIFE INSURANCE,Personnel
DEBATE COACH STIPEND FY25,Personnel
DESKTOP,Non-Personnel
SCHOOLOGY SUB FY25,Non-Personnel
MAINT SUPPL 9,Non-Personnel
PAPER REAM acct 5410,Non-Personnel
STD INS RECEPTIONIST 215,Personnel
TCHR STPND - NOV,Personnel
OFFICE CLERK / STD INS,Personnel
ATTORNEY FEES BLDG A,Non-Personnel
FLOOR RPR,Non-Personnel
DIESEL FUEL 47,Non-Personnel
MEAT & POULTRY Q2,Non-Personnel
IT SVC - JUL,Non-Personnel
WATER & SEWER SCH 07,Non-Personnel
HEALTH OFC SUPPL FY26,Non-Personnel
HVAC SVC - AUG,Non-Personnel
RDG COACH / STD INS RM 101,Personnel
PSYCHOLOGIST LONGEVITY LOC 015,Personnel
CAFETERIA WKR - SEVERANCE RM 101,Personnel
ASSESSMNT MAT 215,Non-Personnel
FACILITY RENT LOC 015,Non-Personnel
HOTEL,Non-Personnel
GIFTED TCHR RETRO PAY ART HISTORY 102,Personnel
CLERK - OT BLDG 1,Personnel
INFINITE CAMPUS SUB,Non-Personnel
PRINTR PAPER Q2,Non-Personnel
RDG SPEC HRLY LOC 22,Personnel
GIFTED TCHR RETROACTIVE PAY HLTH BLDG 4,Personnel
ELECTRIC Q3,Non-Personnel
PROP INS PREM RENEWAL,Non-Personnel
HVAC RPR Q2,Non-Personnel
FOOD COST,Non-Personnel
STRS STAFF.,Personnel
PD CONSULTANT FEE - LITERACY,Non-Personnel
MENTOR TCHR STPND FY26,Personnel
BAKERY PRODUCTS FY25,Non-Personnel
PARA ot PAY,Personnel
GLOBES Q2,Non-Personnel
MEAT & POULTRY 9,Non-Personnel
FUEL BUS SCH 04,Non-Personnel
AFTER SCH DUTY PAY,Personnel
LANDLINE ACCT 6120,Non-Personnel
TRANSLATION SVC BLDG 2,Non-Personnel
SUBSTITUTE TCHR-MS BLDG 4,Personnel
PERS ACCT 6120,Personnel
MSP SVC SCH 04,Non-Personnel
AUDIT FEES BLDG 4,Non-Personnel
CLSRM SUPPLIES SCH 07,Non-Personnel
TUITION REIMB TCHR MASTERS PROG,Personnel
TRACK COACH STIPEND,Personnel
EMPLR FICA SCH 04,Personnel
BUS REGIS FEES RM 12B,Non-Personnel
FICA EMPLR MATCH,Personnel
chalk,Non-Personnel
BULK MAIL BLDG C,Non-Personnel
DEPT HEAD SUPPL PAY BLDG A,Personnel
REGISTRAR / SALARY LOC 015,Personnel
BUS DR-STIPEND BLDG 4,Personnel
MEDIA SPEC / OT 215.,Personnel
FICA CAF WKR - AUG,Personnel
TECH SVC BLDG C,Non-Personnel
DENTAL LIBRARIAN FY26,Personnel
GUID COUNS-SUMMER PAY RM 101,Personnel
BUS RPR - AUG,Non-Personnel
DESKTOP Q3,Non-Personnel
IT SVC ACCT 5410,Non-Personnel
MATH COACH OT PAY FY26,Personnel
TABLET Q4,Non-Personnel
MFP SCH 07,Non-Personnel
OCCUP THER / SAL FY24,Personnel
TEACHER / HRLY LOC 22,Personnel
LIAB INS FY25,Non-Personnel
PHYS THER STIPEND,Personnel
BLDG RPR,Non-Personnel
SOC WKR TUITION REIMB - SEP,Personnel
BCBA - HOURLY,Personnel
BUS TIRES 9,Non-Personnel
MATH COACH SEVERANCE BLDG 2,Personnel
OFF SUPPL LOC 015,Non-Personnel
CYBER INS FY26,Non-Personnel
STD INS ACCT 2200,Personnel
PRINTING SVC SCH 07,Non-Personnel
RECRUITMNT ADVERTISING,Non-Personnel
BEHAVIOR SPEC - SUMMER PAY FY26,Personnel
HEALTH OFC SUPPL - AUG,Non-Personnel
SUB TCHR MATH - SEP,Personnel
student DESK - SEP,Non-Personnel
SUPERINT - SAL ACCT 5410,Personnel
EXPO MARKERS - SEP,Non-Personnel
MSP SVC LOC 22,Non-Personnel
TEACHR / SEVERANCE BLDG 2.,Personnel
GYM SUPPLIES BLDG 1,Non-Personnel
AFTER SCH DUTY PAY - JUL,Personnel
NAT GAS ACCT 1100,Non-Personnel
SUB PARA Q4,Personnel
ARCH FEES SCH 07,Non-Personnel
PROJECTOR BLDG 2,Non-Personnel
CUST SUPPL ACCT 1100,Non-Personnel
PARA - SAL ACCT 2200,Personnel
COMMODITIES RM 101,Non-Personnel
SP ED TCHR RET CONTRIB - SEP,Personnel
DIRECTOR OVERTIME ACCT 6120,Personnel
SUB NURSE RM 302,Personnel
MEDICARE 9,Personnel
KITCHEN EQUIP Q3,Non-Personnel
MAINT TUIT REIMB SCH 04,Personnel
WHITEBRD MARKERS FY25,Non-Personnel
CAFETERIA FOOD RM 205,Non-Personnel
SCH PSYCH - RETROACTIVE PAY - JUL,Personnel
FEDEX SHIPPING 9,Non-Personnel
ATHLETIC SUPPL FY24,Non-Personnel
RECYCLING SVC 47,Non-Personnel
DRIVER / RETRO PAY SCH 07,Personnel
BACKGRND CHK NEW HIRE,Non-Personnel
FUTA ACCT 6120,Personnel
PT - SAL,Personnel
TCHR DESK ACCT 1100,Non-Personnel
ap - OVERTIME Q2,Personnel
OCCUP THER SUPPL PAY Q3,Personnel
TEL SVC,Non-Personnel
PARAPRO BONUS SCH 04,Personnel
FUTA BLDG 2,Personnel
ROOF MAINT,Non-Personnel
RET CONTRIB / ADMIN ASST ACCT 1100,Personnel
REFUSE SVC FY24.,Non-Personnel
IPAD LOC 22,Non-Personnel
DISABILITY INS-REGISTRAR q3,Personnel
FEDEX SHIPPING 9.,Non-Personnel
DISABILITY INS DEPT HEAD,Personnel
ATHLETIC SUPPL 102,Non-Personnel
DEPUTY SUPT / PSERS FY25,Personnel
IT CONS - JUL,Non-Personnel
RET CONTRIB / FS WKR,Personnel
CHAIR 215,Non-Personnel
CANVA LIC RM 12B,Non-Personnel
SNOW REMOV FY25,Non-Personnel
EMP HANDBOOK PRINTING,Non-Personnel
PEST CTRL Q3,Non-Personnel
INT SVC BLDG A,Non-Personnel
WKR COMP RM 302,Personnel
SPEECH PATH-WAGES BLDG 1,Personnel
offc SUPP FY26,Non-Personnel
MED SVC - STUDENTS RM 12B,Non-Personnel
PRINCIPAL OT PAY - JUL,Personnel
TUITION REIMB GIFTED TCHR FY24,Personnel
COPIER LSE Q1,Non-Personnel
FOOD COST 102,Non-Personnel
SEC GUARD SEVERANCE ACCT 6120,Personnel
UNEMPL INS / SUPERINT BLDG 2,Personnel
TONER CART BLDG C,Non-Personnel
VISION INS CUSTODIAN FY24,Personnel
MAINT - WAGES ACCT 6120.,Personnel
NHS ADVISOR STIPEND LOC 015,Personnel
MED INS - BUS DRVR ACCT 2200,Personnel
DEPT CHAIR / PAY - JUL,Personnel
SEC GUARD-LONG PAY,Personnel
PENS,Non-Personnel
COORD / WAGES Q2,Personnel
COPY PAPER BLDG C,Non-Personnel
NOTEBOOKS BLDG C,Non-Personnel
HEALTH OFC SUPPL 9,Non-Personnel
OCCUP THER - SAL 215,Personnel
AFTER SCH DUTY PAY LOC 22,Personnel
PEST CONTROL SVC,Non-Personnel
HVAC RPR ACCT 6120,Non-Personnel
DEPT CHAIR-RETRO PAY BLDG C,Personnel
GUID COUNS-SUMMER PAY BLDG C,Personnel
PENSION CONTRIB / GIFTED TCHR 9,Personnel
AC REPAIR RM 205,Non-Personnel
FSA CONTRIB-LIBRARIAN,Personnel
INSTR COACH HOURLY SCH 07,Personnel
AUTO INS FY25,Non-Personnel
PROJECTOR 215,Non-Personnel
FOLDERS ACCT 2200,Non-Personnel
POWERSCHOOL SUB BLDG 4,Non-Personnel
JANITOR / SMR PAY LOC 015,Personnel
NURSE / SALARIES ACCT 2200,Personnel
STAFF RECOG GIFT CARDS,Non-Personnel
IT TECH PAY - AUG,Personnel
BUS DR - SUMMER PAY SCH 04,Personnel
SFTW LIC RM 12B,Non-Personnel
PRINT JOB - SEP,Non-Personnel
SLP / OT rm 12B,Personnel
LT SUB FACS ACCT 6120,Personnel
SUPT / VISION LOC 22,Personnel
TRANSL SVC 47,Non-Personnel
BUS INS 47,Non-Personnel
ASST PRINC - SALARIES - JUL,Personnel
CURRICULUM MATERIALS 47,Non-Personnel
SOCIAL WORKER / STIPEND - SEP,Personnel
TECH SUPPORT-DISABILITY INS ACCT 6120,Personnel
READING SPEC-WAGES ACCT 6120,Personnel
SOCIAL WORKER LONGEVITY BLDG 1,Personnel
SUB FINDER SFTW SUB,Non-Personnel
CANVA LIC - SEP,Non-Personnel
CANVA LIC FY26,Non-Personnel
KITCHEN STAFF-OVR TIME LOC 015,Personnel
PAYROLL TAX ALL EMP SCH 04,Personnel
SMARTBRD,Non-Personnel
READING SPEC-WAGES ACCT 6120,Personnel
BEHAVIOR SPEC / OVR TIME ACCT 1100,Personnel
WC BLDG 1,Personnel
BUS DRIVER / STIPEND BLDG 1,Personnel
403B MATCH INTERVENTIONIST RM 12B,Personnel
SOFTWARE LIC ACCT 1100,Non-Personnel
RN-BONUS RM 12B,Personnel
LITERACY COACH / SALARIES,Personnel
BAND DIR STIPEND 102,Personnel
LIAB INS - ATHLETIC PROG,Non-Personnel
BINDERS - SEP,Non-Personnel
PROPERTY INS - AUG,Non-Personnel
ADMIN ASST SUMMER PAY ACCT 1100,Personnel
DOC CAM ACCT 2200,Non-Personnel
STAFF ID BADGES PRINT,Non-Personnel
AC REPAIR BLDG A,Non-Personnel
INSTR COACH SUPPL PAY,Personnel
FOLDERS,Non-Personnel
PROP INS SCH 07,Non-Personnel
BINDERS ACCT 5410,Non-Personnel
MEAL PER DIEM Q3,Non-Personnel
DAILY SUB ACCT 1100,Personnel
SEWER BLDG 1,Non-Personnel
LIB BOOKS,Non-Personnel
ADMIN ASST-LONGEVITY ACCT 5410,Personnel
GLOBES,Non-Personnel
NEW TCHR ORIENTATION SUPPL.,Non-Personnel
TCHR AIDE / SMR PAY,Personnel
KITCHEN STAFF OT ACCT 5410,Personnel
WC INS PREM-COUNS FY24,Personnel
CUSTODIAL suppl,Non-Personnel
MUSIC SUPPL Q1,Non-Personnel
EMPLR FICA - OCCUP THER RM 101,Personnel
WKSHOP REG RM 101,Non-Personnel
SUB / CS - NOV,Personnel
PD PRESENTER STIPEND SCH 07,Personnel
TCHR APPREC LUNCHEON,Non-Personnel
TEXTBOOKS,Non-Personnel
PARAEDUC - HEALTH INS PREM ACCT 2200,Personnel
TEACHER / SEVERANCE / K-5 Q2,Personnel
SUB ACCT 6120,Personnel
BUS RPR 47,Non-Personnel
TECH SUPPORT OT PAY RM 205,Personnel
MAINT SUPPL Q3.,Non-Personnel
COUNSLR RETRO PAY RM 302.,Personnel
DETENTION SUPERV STPND - SEP,Personnel
SUBSCRIPTION ACCT 5410,Non-Personnel
STORAGE RENT LOC 015,Non-Personnel
ATH DIR STIPEND 47,Personnel
MATH SPEC - PAY BLDG 2,Personnel
ELECTRICAL REPAIR BLDG A,Non-Personnel
KITCHEN EQUIP Q3,Non-Personnel
MIL REIMB SCH 04,Non-Personnel
SUI ACCT 6120,Personnel
MEDIA SPEC SALARIES 9.,Personnel
COPIER LEASE Q1,Non-Personnel
SNOW PLOW ACCT 5410,Non-Personnel
EL TCHR RETRO PAY ELEM ACCT 5410,Personnel
WASTE MGMT RM 101,Non-Personnel
PROJECTOR BLDG 2,Non-Personnel
GASOLINE Q3,Non-Personnel
SW / LONGEVITY,Personnel
UNEMPL CLAIM PMT,Personnel
COMMODITIES 9,Non-Personnel
WATER RM 302,Non-Personnel
TA SALARIES,Personnel
NAT GAS 215,Non-Personnel
CAF WKR-DISABILITY INS,Personnel
LAPTOP - JUL,Non-Personnel
COORD STPND ACCT 1100,Personnel
TIRES BUS BLDG 2,Non-Personnel
BUS INS BLDG 4,Non-Personnel
FIRST AID SUPPL 9,Non-Personnel
MSP SVC 102,Non-Personnel
NOTEBOOKS BLDG 1,Non-Personnel
RDG COACH SUMMER PAY 9,Personnel
RDG SPEC - HEALTH INS PREM 9,Personnel
SECRTRY - LONGEVITY 215,Personnel
FS WKR SUPPL PAY 102,Personnel
MAINT WKR-SALARIES 9,Personnel
PRINC LONG PAY Q1,Personnel
ASST SUPT SUPPL PAY ACCT 1100,Personnel
LT SUB BLDG C,Personnel
CONSULTING SVC 47,Non-Personnel
AP-STRS 47.,Personnel
INSTR COACH-OT PAY RM 205,Personnel
WC INS PREM Q3,Personnel
COMMODITIES,Non-Personnel
CYBER INS FY26,Non-Personnel
CUSTOD - STPND - JUL,Personnel
SCH PSYCH / DISABILITY INS RM 205,Personnel
CLEANING SUPPLS 215,Non-Personnel
GRADE LVL LEAD STPND - JUL,Personnel
TIRES BUS SCH 04,Non-Personnel
PRINT JOB ACCT 5410,Non-Personnel
CUST SUMMER PAY ACCT 1100.,Personnel
PRINTR PAPER RM 101,Non-Personnel
DISPLAY ACCT 6120,Non-Personnel
PLMB RPR - AUG,Non-Personnel
PEST CONTROL SVC BLDG 1,Non-Personnel
CHRMBOOK BLDG 2,Non-Personnel
SPECIAL ED TCHR SALARY 102,Personnel
ATHLETIC BUS TRANS,Non-Personnel
LIB BOOKS 215,Non-Personnel
IT SVC SCH 04,Non-Personnel
REFUSE SVC LOC 015,Non-Personnel
MEDC TAX,Personnel
PAPER REAM FY24,Non-Personnel
FOOD PURCH BLDG 1,Non-Personnel
LIABILITY INS,Non-Personnel
FACILITY RENT 102,Non-Personnel
EXPO MARKERS Q2,Non-Personnel
PARAPRO SALARY BLDG 1,Personnel
FED UI LITERACY COACH ACCT 6120,Personnel
CLASSLINK SUB SCH 07,Non-Personnel
SMART TV ACCT 6120,Non-Personnel
DESK - AUG,Non-Personnel
ASST SUPT / RET CONTRIB,Personnel
SEC DISABILITY INS 102,Personnel
DRIVER OT ACCT 5410,Personnel
STUDENT DESK LOC 22,Non-Personnel
CUST SUPPL FY24,Non-Personnel
OCCUP THER / HRLY 102,Personnel
HLTH INS - PT ACCT 2200,Personnel
SPEECH PATH HOURLY ACCT 5410,Personnel
GOOGLE WKSPC LIC - NOV,Non-Personnel
INET SVC BLDG 2,Non-Personnel
COMPTR 47,Non-Personnel
PAPER GOODS - CAF - JUL,Non-Personnel
ROOF RPR BLDG 4,Non-Personnel
OFFICE CLERK / STIPEND 102,Personnel
LIB MEDIA SPEC LIFE INSURANCE - JUL,Personnel
MEDC TAX / PRINC - JUL,Personnel
AIRFARE - JUL,Non-Personnel
TESTING MAT.,Non-Personnel
TCHR - SALARIES ACCT 1100,Personnel
RDG COACH / LIFE INS ACCT 6120,Personnel
OFFICE CLERK / STPND BLDG 4,Personnel
SECRETARY LTD INS ACCT 2200,Personnel
ATHLETIC EQUIP BLDG 4,Non-Personnel
REFUSE SVC BLDG 4,Non-Personnel
MED SVC - STUDENTS BLDG 2,Non-Personnel
SPEECH PATH STPND SCH 04,Personnel
INTERNET ACCT 5410,Non-Personnel
ATHLETIC EQUIP LOC 22,Non-Personnel
VISION INS-EL TCHR ACCT 2200,Personnel
PRT SVC SCH 04,Non-Personnel
FUTA OFFICE CLERK - AUG,Personnel
FICA TAX ACCT 5410,Personnel
TITLE 1 tchr TUITION REIMB,Personnel
WKSHOP REG 9,Non-Personnel
WKR COMP SCH 07,Personnel
SP ED TCHR - VIS INS,Personnel
TITLE 1 TCHR STPND SECONDARY PE RM 12B,Personnel
TRASH BLDG A,Non-Personnel
COPY PAPER BLDG 2,Non-Personnel
BINDERS BLDG 2,Non-Personnel
BLDG LEASE,Non-Personnel
ASST coach STIPEND - SEP,Personnel
FACILITY RPR BLDG A,Non-Personnel
OFFICE CLERK BONUS - NOV,Personnel
FOOD SVC WKR - OT ACCT 1100,Personnel
RECEPT OVERTIME 47,Personnel
COMPUTER ACCT 5410,Non-Personnel
FOLDERS LOC 015,Non-Personnel
OFFICE CLERK / HOURLY LOC 015,Personnel
ROOF MAINT ACCT 1100,Non-Personnel
SPEECH THER LIFE INS Q1,Personnel
FRESH PRODUCE FY25,Non-Personnel
TEXTBKS BLDG A,Non-Personnel
ATHLETIC BUS TRANS Q2,Non-Personnel
BCBA LONGEVITY - AUG,Personnel
PAYROLL SFTW LIC RENEWAL,Non-Personnel
CUSTODIAN BONUS ACCT 5410,Personnel
PRINT JOB,Non-Personnel